year,week,date_rep,day,month,month_letter,Vel_mean_mps,Dir_mean_deg,TSM_mean
2025,20,2025-05-20,20,5,M,4.7619622012285605,302.24899031132,16.548730325288563
2025,21,2025-05-27,27,5,M,5.632035222276756,283.21269221573846,16.77990322580645
2025,22,2025-06-03,3,6,J,5.358181216621715,304.5269466261978,17.272337246531485
2025,23,2025-06-10,10,6,J,4.786645091989007,310.05565042246576,17.665850840336134
2025,24,2025-06-17,17,6,J,4.249133766898019,323.59650657601975,18.45492029755579
2025,25,2025-06-24,24,6,J,4.682392338161596,312.6855333347151,18.69946977730647
2025,26,2025-07-01,1,7,J,2.5247489433857178,310.21693079349683,17.892358591248666
2025,27,2025-07-08,8,7,J,5.117698279838194,273.5204639278992,17.47387062566278
2025,28,2025-07-15,15,7,J,4.893776635014235,271.9677932264817,17.464042105263157
2025,29,2025-07-22,22,7,J,4.433057445914448,295.8911347569798,17.1306387434555
2025,30,2025-07-29,29,7,J,3.467566624173504,280.8064699813955,16.895362776025237
2025,31,2025-08-05,5,8,A,1.0243444256678456,285.3754328842992,16.996112266112267
2025,32,2025-08-12,12,8,A,2.2891646651906825,301.78445377014907,16.543520678685045
2025,33,2025-08-19,19,8,A,2.526639607400354,303.114470187869,16.488071654373023
2025,34,2025-08-26,26,8,A,1.4445410835396653,50.344439721190994,16.19447983014862
2025,35,2025-09-02,2,9,S,2.174398872476059,283.8804454358826,15.863978947368421
2025,36,2025-09-09,9,9,S,3.763233726832285,305.01395901370216,16.02001067235859
2025,37,2025-09-16,16,9,S,2.5142494389926484,319.0496284204221,15.754958158995816
2025,38,2025-09-23,23,9,S,1.7777573319510025,341.1704772231467,15.607444561774024
2025,39,2025-09-30,30,9,S,2.1048369080944,354.6911894101014,15.544164882226982
2025,40,2025-10-07,7,10,O,1.5649522058110465,9.148348151328674,14.935383806519452
2025,41,2025-10-14,14,10,O,2.021661159148821,49.91530300357369,14.813161764705882
2025,42,2025-10-21,21,10,O,1.3517399356424717,334.53458084164333,14.700406091370558
2025,43,2025-10-28,28,10,O,0.9993343245049296,2.83824831153557,14.863340448239061
2025,44,2025-11-04,4,11,N,0.9746286670518688,139.99481470827288,15.335036880927293
2025,45,2025-11-11,11,11,N,2.4395385487775547,155.7208673498034,15.755873684210526
2025,46,2025-11-18,18,11,N,4.75099858014713,149.89837086597885,15.18831223628692
2025,47,2025-11-25,25,11,N,3.7446406312615785,145.7876351266418,14.997947643979058
2025,48,2025-12-02,2,12,D,2.1955634037138094,145.28633191038867,15.243654661016949
2025,49,2025-12-09,9,12,D,0.43998553276894947,2.2946025695038017,15.31899470899471
2025,50,2025-12-16,16,12,D,8.81229325188771,314.27499371222075,16.573442105263158
2025,51,2025-12-23,23,12,D,9.511254777100353,314.9293062392775,17.168917197452227
2025,52,2025-12-30,30,12,D,10.051560423861085,315.49570779610286,16.86594657375145
2026,53,2026-01-06,6,1,E,10.507747137007277,316.6338594820232,18.79985611510791
2026,1,2026-01-07,7,1,E,10.93089757158242,317.3010779344454,16.39445147679325
2026,2,2026-01-14,14,1,E,11.599589284932344,320.85706199911573,16.391849015317288
2026,3,2026-01-21,21,1,E,12.149640948839236,321.4936280424296,15.341486658195679
2026,4,2026-01-28,28,1,E,13.173098500620632,319.85400711153096,15.868930817610062
2026,5,2026-02-04,4,2,F,11.564619991328982,320.6135860650854,15.22392033542977
2026,6,2026-02-11,11,2,F,12.67516622756034,318.09582167582414,16.359873684210527
2026,7,2026-02-18,18,2,F,8.935750401827507,321.97050500356875,15.591169652265544
2026,8,2026-02-25,25,2,F,5.108780898290485,338.93547854336305,15.92748701973001
2026,9,2026-03-04,4,3,M,13.220636984987054,319.52115696548447,17.19635782747604
2026,10,2026-03-11,11,3,M,6.782002356027878,318.4029096479672,17.36790254237288
2026,11,2026-03-18,18,3,M,2.4032875432570227,338.44312567728986,18.142168421052634
2026,12,2026-03-25,25,3,M,2.275845524589405,308.4417158673702,20.668773987206823
2026,13,2026-04-01,1,4,A,2.4606686164791034,328.33757656154927,21.069936238044633
2026,14,2026-04-08,8,4,A,2.5137330300447456,333.0669403814237,19.15276371308017
2026,15,2026-04-15,15,4,A,1.3575607303884556,4.8116700870861235,18.711351636747626
2026,16,2026-04-22,22,4,A,2.450086414870388,339.0008111381449,18.29546511627907
2026,17,2026-04-29,29,4,A,1.1687739571037963,344.83529256153633,19.109040667361835
2026,18,2026-05-06,6,5,M,1.729062184929968,336.256880255343,19.542932330827067
