Fecha,"Imarpe Santa Rosa - Temperatura Med - Val (ºC)","Imarpe Santa Rosa - Precipitación Acumulada - Val (mm)","Imarpe Santa Rosa - Batería - Val (V)","Imarpe Santa Rosa - Humedad Relativa - Val (%)","Imarpe Santa Rosa - Direccion de Viento - Val (º)","Imarpe Santa Rosa - Velocidad de Viento - Val (m/s)","Imarpe Santa Rosa - Presion Atmosférica - Val (hPa)","Imarpe Santa Rosa - Radiación Solar - Val (W/m2)"
"2022-01-01 00:00",18.7,0.0,12.9,,151,2.4,1017.2,1
"2022-01-01 00:10",18.5,0.0,12.9,,155,2.1,1017.1,1
"2022-01-01 00:20",18.6,0.0,12.9,,151,1.6,1017.0,1
"2022-01-01 00:30",18.6,0.0,12.9,,150,1.8,1017.0,1
"2022-01-01 00:40",18.8,0.0,12.9,,150,2.1,1017.0,1
"2022-01-01 00:50",18.7,0.0,12.9,,151,1.8,1016.9,1
"2022-01-01 01:00",18.7,0.0,12.9,,151,1.5,1016.8,1
"2022-01-01 01:10",18.6,0.0,12.9,,154,2.0,1016.8,1
"2022-01-01 01:20",18.4,0.0,12.9,,156,1.7,1016.7,1
"2022-01-01 01:30",18.5,0.0,12.9,,141,1.6,1016.6,0
"2022-01-01 01:40",18.9,0.0,12.9,,141,1.7,1016.6,1
"2022-01-01 01:50",19.0,0.0,12.9,,135,1.8,1016.6,1
"2022-01-01 02:00",19.0,0.0,12.9,,142,2.0,1016.6,1
"2022-01-01 02:10",19.0,0.0,12.9,,146,2.0,1016.5,1
"2022-01-01 02:20",19.0,0.0,12.9,,141,2.0,1016.5,1
"2022-01-01 02:30",18.9,0.0,12.9,,146,2.2,1016.5,1
"2022-01-01 02:40",18.9,0.0,12.9,,146,1.8,1016.4,1
"2022-01-01 02:50",18.9,0.0,12.9,,141,2.0,1016.4,1
"2022-01-01 03:00",18.8,0.0,12.9,,149,2.3,1016.3,1
"2022-01-01 03:10",18.5,0.0,12.9,,151,2.6,1016.2,1
"2022-01-01 03:20",18.5,0.0,12.9,,146,2.3,1016.2,1
"2022-01-01 03:30",18.7,0.0,12.9,,134,2.2,1016.2,1
"2022-01-01 03:40",18.8,0.0,12.9,,134,2.3,1016.2,1
"2022-01-01 03:50",18.9,0.0,12.9,,147,2.7,1016.2,1
"2022-01-01 04:00",18.6,0.0,12.9,,152,2.8,1016.2,1
"2022-01-01 04:10",18.5,0.0,12.8,,152,2.7,1016.2,1
"2022-01-01 04:20",18.3,0.0,12.8,,146,2.8,1016.3,1
"2022-01-01 04:30",18.2,0.0,12.8,,149,2.4,1016.2,0
"2022-01-01 04:40",18.3,0.0,12.8,,152,2.7,1016.4,1
"2022-01-01 04:50",18.2,0.0,12.8,,153,2.1,1016.4,1
"2022-01-01 05:00",17.7,0.0,12.8,,153,2.1,1016.4,1
"2022-01-01 05:10",17.7,0.0,12.8,,152,2.0,1016.4,1
"2022-01-01 05:20",17.6,0.0,12.8,,155,2.1,1016.5,1
"2022-01-01 05:30",17.3,0.0,12.8,,154,2.1,1016.5,1
"2022-01-01 05:40",17.3,0.0,12.8,,155,2.0,1016.5,1
"2022-01-01 05:50",17.2,0.0,12.8,,153,1.9,1016.6,1
"2022-01-01 06:00",17.2,0.0,12.8,,155,1.9,1016.7,1
"2022-01-01 06:10",17.4,0.0,12.8,,147,2.0,1016.8,1
"2022-01-01 06:20",17.3,0.0,12.8,,152,2.0,1016.9,8
"2022-01-01 06:30",17.5,0.0,12.8,,147,2.2,1016.9,21
"2022-01-01 06:40",17.5,0.0,12.8,,148,1.9,1016.9,34
"2022-01-01 06:50",17.7,0.0,12.8,,137,1.7,1017.0,44
"2022-01-01 07:00",17.7,0.0,12.8,,151,2.2,1017.0,53
"2022-01-01 07:10",17.6,0.0,12.9,,151,2.1,1017.0,62
"2022-01-01 07:20",17.6,0.0,12.9,,155,1.9,1017.1,72
"2022-01-01 07:30",17.4,0.0,13.0,,159,1.8,1017.1,89
"2022-01-01 07:40",17.4,0.0,13.1,,156,1.7,1017.1,113
"2022-01-01 07:50",17.7,0.0,13.3,,159,1.7,1017.1,120
"2022-01-01 08:00",17.7,0.0,13.3,,169,1.5,1017.2,134
"2022-01-01 08:10",17.8,0.0,13.5,,161,1.3,1017.2,187
"2022-01-01 08:20",18.0,0.0,13.5,,205,1.3,1017.2,219
"2022-01-01 08:30",18.0,0.0,13.5,,238,1.5,1017.4,236
"2022-01-01 08:40",18.2,0.0,13.6,,236,1.2,1017.4,274
"2022-01-01 08:50",18.6,0.0,13.8,,204,0.9,1017.4,386
"2022-01-01 09:00",19.1,0.0,13.9,,189,1.4,1017.3,454
"2022-01-01 09:10",19.3,0.0,13.9,,189,1.7,1017.3,385
"2022-01-01 09:20",19.3,0.0,13.9,,207,1.8,1017.3,222
"2022-01-01 09:30",19.5,0.0,14.0,,207,1.8,1017.2,237
"2022-01-01 09:40",19.5,0.0,14.0,,209,2.0,1017.1,289
"2022-01-01 09:50",19.7,0.0,14.0,,212,2.0,1017.1,462
"2022-01-01 10:00",19.8,0.0,14.0,,202,1.9,1017.1,330
"2022-01-01 10:10",20.2,0.0,14.0,,194,1.9,1017.1,412
"2022-01-01 10:20",20.5,0.0,14.0,,191,2.0,1017.0,431
"2022-01-01 10:30",21.1,0.0,14.0,,189,1.9,1016.9,572
"2022-01-01 10:40",21.2,0.0,14.0,,189,2.0,1016.9,580
"2022-01-01 10:50",21.7,0.0,14.0,,185,1.8,1016.8,673
"2022-01-01 11:00",21.7,0.0,14.0,,187,2.0,1016.8,709
"2022-01-01 11:10",21.7,0.0,14.1,,189,2.1,1016.7,744
"2022-01-01 11:20",21.6,0.0,14.1,,199,2.2,1016.7,874
"2022-01-01 11:30",21.8,0.0,14.1,,199,2.1,1016.7,899
"2022-01-01 11:40",22.0,0.0,14.1,,192,2.3,1016.7,921
"2022-01-01 11:50",21.6,0.0,14.1,,199,2.9,1016.7,949
"2022-01-01 12:00",21.2,0.0,14.1,,206,3.3,1016.6,916
"2022-01-01 12:10",21.1,0.0,14.1,,211,3.6,1016.5,939
"2022-01-01 12:20",21.0,0.0,14.1,,210,3.7,1016.4,969
"2022-01-01 12:30",21.0,0.0,14.1,,208,3.9,1016.5,969
"2022-01-01 12:40",21.1,0.0,14.1,,203,3.6,1016.4,968
"2022-01-01 12:50",21.3,0.0,14.1,,200,4.0,1016.3,966
"2022-01-01 13:00",21.5,0.0,14.1,,199,3.7,1016.2,961
"2022-01-01 13:10",22.0,0.0,14.1,,202,2.6,1016.1,957
"2022-01-01 13:20",22.2,0.0,14.1,,199,2.8,1016.1,949
"2022-01-01 13:30",21.3,0.0,14.1,,199,3.8,1016.0,964
"2022-01-01 13:40",21.1,0.0,14.1,,200,3.8,1016.0,781
"2022-01-01 13:50",20.7,0.0,14.1,,199,3.9,1015.9,604
"2022-01-01 14:00",20.7,0.0,14.1,,205,4.1,1015.9,622
"2022-01-01 14:10",20.7,0.0,14.1,,200,3.7,1015.8,612
"2022-01-01 14:20",21.4,0.0,14.1,,199,3.3,1015.8,871
"2022-01-01 14:30",22.0,0.0,14.1,,192,2.5,1015.7,841
"2022-01-01 14:40",22.1,0.0,14.1,,199,2.8,1015.6,854
"2022-01-01 14:50",22.3,0.0,14.1,,196,2.5,1015.6,883
"2022-01-01 15:00",21.5,0.0,14.1,,185,3.2,1015.6,879
"2022-01-01 15:10",21.0,0.0,14.1,,185,3.2,1015.6,414
"2022-01-01 15:20",20.8,0.0,14.1,,199,3.3,1015.5,592
"2022-01-01 15:30",21.0,0.0,14.1,,199,3.4,1015.4,640
"2022-01-01 15:40",20.7,0.0,14.1,,197,3.5,1015.4,441
"2022-01-01 15:50",20.4,0.0,14.1,,202,4.3,1015.4,504
"2022-01-01 16:00",20.5,0.0,14.1,,195,3.2,1015.3,367
"2022-01-01 16:10",20.7,0.0,14.1,,192,2.9,1015.2,406
"2022-01-01 16:20",20.3,0.0,14.1,,181,3.3,1015.3,422
"2022-01-01 16:30",20.4,0.0,14.1,,181,3.0,1015.4,444
"2022-01-01 16:40",20.3,0.0,14.1,,184,3.5,1015.4,452
"2022-01-01 16:50",20.0,0.0,14.1,,185,3.4,1015.5,424
"2022-01-01 17:00",20.1,0.0,14.1,,180,3.3,1015.6,405
"2022-01-01 17:10",20.1,0.0,14.1,,177,2.8,1015.5,305
"2022-01-01 17:20",19.8,0.0,14.1,,173,2.6,1015.7,197
