Fecha,"Imarpe Santa Rosa - Temperatura Med - Val (ºC)","Imarpe Santa Rosa - Precipitación Acumulada - Val (mm)","Imarpe Santa Rosa - Batería - Val (V)","Imarpe Santa Rosa - Humedad Relativa - Val (%)","Imarpe Santa Rosa - Direccion de Viento - Val (º)","Imarpe Santa Rosa - Velocidad de Viento - Val (m/s)","Imarpe Santa Rosa - Presion Atmosférica - Val (hPa)","Imarpe Santa Rosa - Radiación Solar - Val (W/m2)"
"2025-01-01 00:00",16.6,0.0,13.4,,111,0.9,1018.5,0
"2025-01-01 00:10",16.5,0.0,13.4,,117,1.2,1018.4,0
"2025-01-01 00:20",16.3,0.1,13.4,,168,1.1,1018.4,0
"2025-01-01 00:30",16.0,0.1,13.3,,144,1.1,1018.3,0
"2025-01-01 00:40",16.3,0.0,13.3,,133,0.9,1018.2,0
"2025-01-01 00:50",16.6,0.1,13.3,,119,0.9,1018.1,0
"2025-01-01 01:00",16.5,0.1,13.3,,110,1.2,1017.9,0
"2025-01-01 01:10",16.5,0.0,13.3,,112,1.3,1017.9,0
"2025-01-01 01:20",16.3,0.1,13.3,,142,1.0,1018.0,0
"2025-01-01 01:30",16.0,0.0,13.3,,155,1.2,1017.9,0
"2025-01-01 01:40",15.8,0.0,13.3,,150,1.3,1017.8,0
"2025-01-01 01:50",15.9,0.0,13.3,,140,0.9,1017.7,1
"2025-01-01 02:00",15.9,0.0,13.3,,141,0.9,1017.7,1
"2025-01-01 02:10",15.8,0.0,13.3,,157,0.6,1017.6,1
"2025-01-01 02:20",15.4,0.0,13.3,,171,1.6,1017.5,1
"2025-01-01 02:30",15.3,0.0,13.3,,157,1.6,1017.5,1
"2025-01-01 02:40",15.4,0.0,13.3,,139,1.2,1017.4,1
"2025-01-01 02:50",15.7,0.0,13.3,,124,1.0,1017.3,1
"2025-01-01 03:00",15.7,0.1,13.3,,131,0.7,1017.3,0
"2025-01-01 03:10",15.2,0.0,13.3,,153,0.9,1017.2,0
"2025-01-01 03:20",15.2,0.2,13.3,,161,0.8,1017.3,1
"2025-01-01 03:30",15.1,0.2,13.3,,156,1.9,1017.2,1
