Fecha,"Imarpe Santa Rosa - Temperatura Med - Val (ºC)","Imarpe Santa Rosa - Precipitación Acumulada - Val (mm)","Imarpe Santa Rosa - Batería - Val (V)","Imarpe Santa Rosa - Humedad Relativa - Val (%)","Imarpe Santa Rosa - Direccion de Viento - Val (º)","Imarpe Santa Rosa - Velocidad de Viento - Val (m/s)","Imarpe Santa Rosa - Presion Atmosférica - Val (hPa)","Imarpe Santa Rosa - Radiación Solar - Val (W/m2)"
"2021-01-01 00:00",18.5,0.0,12.9,97,135,4.2,1017.0,-1
"2021-01-01 00:10",18.4,0.0,12.9,97,138,3.5,1016.9,-1
"2021-01-01 00:20",18.4,0.0,12.9,97,133,3.0,1016.9,0
"2021-01-01 00:30",18.3,0.0,12.9,97,134,3.4,1016.9,0
"2021-01-01 00:40",18.2,0.0,12.9,97,143,3.5,1016.9,0
"2021-01-01 00:50",18.0,0.0,12.9,97,146,3.5,1016.8,0
"2021-01-01 01:00",17.8,0.0,12.9,97,143,3.3,1016.7,0
"2021-01-01 01:10",17.6,0.0,12.9,97,146,3.6,1016.7,0
"2021-01-01 01:20",17.6,0.0,12.9,97,134,3.0,1016.6,0
"2021-01-01 01:30",17.6,0.0,12.9,97,135,2.4,1016.6,-1
"2021-01-01 01:40",17.5,0.0,12.9,97,144,2.3,1016.5,-1
"2021-01-01 01:50",17.4,0.0,12.9,97,147,2.5,1016.4,0
"2021-01-01 02:00",17.3,0.0,12.9,97,146,2.5,1016.4,-1
"2021-01-01 02:10",17.3,0.0,12.9,98,145,2.4,1016.4,-1
"2021-01-01 02:20",17.3,0.0,12.9,98,138,2.2,1016.4,-1
"2021-01-01 02:30",17.4,0.0,12.9,98,134,1.8,1016.4,-1
"2021-01-01 02:40",17.5,0.0,12.9,98,146,2.6,1016.3,-1
"2021-01-01 02:50",17.5,0.0,12.9,98,144,2.7,1016.2,-1
"2021-01-01 03:00",17.4,0.0,12.9,98,147,2.7,1016.3,-1
"2021-01-01 03:10",17.4,0.0,12.9,98,141,2.4,1016.4,-1
"2021-01-01 03:20",17.4,0.0,12.9,98,152,2.8,1016.4,-1
"2021-01-01 03:30",17.1,0.0,12.9,98,159,2.9,1016.3,0
"2021-01-01 03:40",17.1,0.0,12.9,98,154,2.4,1016.3,-1
"2021-01-01 03:50",17.1,0.0,12.9,98,154,2.7,1016.4,0
"2021-01-01 04:00",17.1,0.0,12.9,98,154,2.7,1016.5,-1
"2021-01-01 04:10",17.0,0.0,12.9,98,155,2.5,1016.5,0
"2021-01-01 04:20",16.9,0.0,12.9,98,158,2.6,1016.5,-1
"2021-01-01 04:30",16.9,0.0,12.9,98,159,2.6,1016.5,-1
"2021-01-01 04:40",16.9,0.0,12.9,98,157,2.6,1016.5,0
"2021-01-01 04:50",17.0,0.0,12.9,99,151,2.4,1016.6,0
"2021-01-01 05:00",17.1,0.0,12.8,99,150,2.1,1016.7,0
"2021-01-01 05:10",17.0,0.0,12.8,99,149,1.9,1016.8,-1
"2021-01-01 05:20",17.1,0.0,12.8,99,148,2.0,1016.8,-1
"2021-01-01 05:30",17.0,0.0,12.8,99,157,2.5,1016.8,0
"2021-01-01 05:40",16.9,0.0,12.8,99,153,2.3,1016.8,0
"2021-01-01 05:50",16.9,0.0,12.8,99,148,2.0,1016.9,0
"2021-01-01 06:00",17.0,0.0,12.8,99,150,2.3,1016.9,0
"2021-01-01 06:10",17.1,0.0,12.8,99,145,2.3,1017.1,3
"2021-01-01 06:20",17.1,0.0,12.8,99,153,2.2,1017.1,10
