datetime,velocidad,direccion,tsm,estacion
2025-01-05 22:00:00,0.1,245.0,,SNM Casma
2025-01-05 23:00:00,0.6,236.0,,SNM Casma
2025-01-06 00:00:00,0.1,273.0,,SNM Casma
2025-01-06 01:00:00,1.0,254.0,,SNM Casma
2025-01-06 02:00:00,0.7,268.0,,SNM Casma
2025-01-06 03:00:00,0.7,268.0,,SNM Casma
2025-01-06 04:00:00,0.0,270.0,,SNM Casma
2025-01-06 05:00:00,0.8,259.0,,SNM Casma
2025-01-06 06:00:00,0.0,233.0,,SNM Casma
2025-01-06 07:00:00,0.0,272.0,,SNM Casma
2025-01-06 08:00:00,0.4,242.0,,SNM Casma
2025-01-06 09:00:00,1.0,258.0,,SNM Casma
2025-01-06 10:00:00,1.8,232.0,,SNM Casma
2025-01-06 11:00:00,1.7,269.0,,SNM Casma
2025-01-06 12:00:00,1.6,261.0,,SNM Casma
2025-01-06 13:00:00,2.6,308.0,,SNM Casma
2025-01-06 14:00:00,2.5,264.0,,SNM Casma
2025-01-06 15:00:00,2.3,290.0,,SNM Casma
2025-01-06 16:00:00,2.6,246.0,,SNM Casma
2025-01-06 17:00:00,3.0,245.0,,SNM Casma
2025-01-06 18:00:00,2.7,242.0,,SNM Casma
2025-01-06 19:00:00,2.7,242.0,,SNM Casma
2025-01-06 20:00:00,1.4,281.0,,SNM Casma
2025-01-06 21:00:00,1.8,240.0,,SNM Casma
2025-01-06 22:00:00,0.6,249.0,,SNM Casma
2025-01-06 23:00:00,0.2,264.0,,SNM Casma
2025-01-07 00:00:00,0.3,279.0,,SNM Casma
2025-01-07 01:00:00,0.2,254.0,,SNM Casma
2025-01-07 02:00:00,0.0,255.0,,SNM Casma
2025-01-07 03:00:00,1.7,256.0,,SNM Casma
2025-01-07 04:00:00,0.7,224.0,,SNM Casma
2025-01-07 05:00:00,0.4,234.0,,SNM Casma
2025-01-07 06:00:00,1.1,231.0,,SNM Casma
2025-01-07 07:00:00,0.4,230.0,,SNM Casma
2025-01-07 08:00:00,1.9,249.0,,SNM Casma
2025-01-07 09:00:00,2.1,243.0,,SNM Casma
2025-01-07 10:00:00,0.9,239.0,,SNM Casma
2025-01-07 11:00:00,1.9,228.0,,SNM Casma
2025-01-07 12:00:00,1.3,218.0,,SNM Casma
2025-01-07 13:00:00,2.6,207.0,,SNM Casma
2025-01-07 14:00:00,1.9,217.0,,SNM Casma
2025-01-07 15:00:00,1.9,217.0,,SNM Casma
2025-01-07 16:00:00,3.2,238.0,,SNM Casma
2025-01-07 17:00:00,2.3,280.0,,SNM Casma
2025-01-07 18:00:00,2.4,274.0,,SNM Casma
2025-01-07 19:00:00,2.4,274.0,,SNM Casma
2025-01-07 20:00:00,1.1,263.0,,SNM Casma
2025-01-07 21:00:00,0.6,270.0,,SNM Casma
2025-01-07 22:00:00,0.1,314.0,,SNM Casma
2025-01-07 23:00:00,0.2,298.0,,SNM Casma
2025-01-08 00:00:00,2.0,254.0,,SNM Casma
2025-01-08 01:00:00,1.2,213.0,,SNM Casma
2025-01-08 02:00:00,0.3,254.0,,SNM Casma
2025-01-08 03:00:00,1.5,246.0,,SNM Casma
2025-01-08 04:00:00,0.5,233.0,,SNM Casma
2025-01-08 05:00:00,1.4,235.0,,SNM Casma
2025-01-08 06:00:00,1.9,198.0,,SNM Casma
2025-01-08 07:00:00,0.0,283.0,,SNM Casma
2025-01-08 08:00:00,0.6,301.0,,SNM Casma
2025-01-08 09:00:00,0.6,285.0,,SNM Casma
2025-01-08 10:00:00,2.6,243.0,,SNM Casma
2025-01-08 11:00:00,0.9,235.0,,SNM Casma
2025-01-08 12:00:00,2.5,264.0,,SNM Casma
2025-01-08 13:00:00,3.1,245.0,,SNM Casma
2025-01-08 14:00:00,2.3,281.0,,SNM Casma
2025-01-08 15:00:00,2.3,281.0,,SNM Casma
2025-01-08 16:00:00,2.1,263.0,,SNM Casma
2025-01-08 17:00:00,3.5,253.0,,SNM Casma
2025-01-08 18:00:00,4.1,200.0,,SNM Casma
2025-01-08 19:00:00,4.1,200.0,,SNM Casma
2025-01-08 20:00:00,2.1,262.0,,SNM Casma
2025-01-08 21:00:00,1.2,265.0,,SNM Casma
2025-01-08 22:00:00,1.0,269.0,,SNM Casma
2025-01-08 23:00:00,1.7,235.0,,SNM Casma
2025-01-09 00:00:00,0.7,274.0,,SNM Casma
2025-01-09 01:00:00,0.7,280.0,,SNM Casma
2025-01-09 02:00:00,0.0,231.0,,SNM Casma
2025-01-09 03:00:00,0.5,233.0,,SNM Casma
2025-01-09 04:00:00,0.5,237.0,,SNM Casma
2025-01-09 05:00:00,0.2,267.0,,SNM Casma
2025-01-09 06:00:00,0.0,237.0,,SNM Casma
2025-01-09 07:00:00,1.3,247.0,,SNM Casma
2025-01-09 08:00:00,0.2,322.0,,SNM Casma
2025-01-09 09:00:00,0.1,154.0,,SNM Casma
2025-01-09 10:00:00,0.1,154.0,,SNM Casma
2025-01-09 11:00:00,1.9,235.0,,SNM Casma
2025-01-09 12:00:00,2.6,251.0,,SNM Casma
2025-01-09 13:00:00,3.1,253.0,,SNM Casma
2025-01-09 14:00:00,3.2,272.0,,SNM Casma
2025-01-09 15:00:00,3.3,272.0,,SNM Casma
2025-01-09 16:00:00,3.0,231.0,,SNM Casma
2025-01-09 17:00:00,2.0,246.0,,SNM Casma
2025-01-09 18:00:00,1.5,283.0,,SNM Casma
2025-01-09 19:00:00,2.0,253.0,,SNM Casma
2025-01-09 20:00:00,1.3,271.0,,SNM Casma
2025-01-09 21:00:00,0.4,294.0,,SNM Casma
2025-01-09 22:00:00,0.0,313.0,,SNM Casma
2025-01-09 23:00:00,0.2,300.0,,SNM Casma
2025-01-10 00:00:00,0.1,230.0,,SNM Casma
2025-01-10 01:00:00,0.6,238.0,,SNM Casma
2025-01-10 02:00:00,0.9,230.0,,SNM Casma
2025-01-10 03:00:00,0.0,236.0,,SNM Casma
2025-01-10 04:00:00,0.0,292.0,,SNM Casma
2025-01-10 05:00:00,0.1,227.0,,SNM Casma
2025-01-10 06:00:00,1.0,237.0,,SNM Casma
2025-01-10 07:00:00,0.7,212.0,,SNM Casma
2025-01-10 08:00:00,0.9,235.0,,SNM Casma
2025-01-10 09:00:00,1.5,227.0,,SNM Casma
2025-01-10 10:00:00,0.9,220.0,,SNM Casma
2025-01-10 11:00:00,2.0,253.0,,SNM Casma
2025-01-10 12:00:00,2.7,253.0,,SNM Casma
2025-01-10 13:00:00,2.9,264.0,,SNM Casma
2025-01-10 14:00:00,3.1,290.0,,SNM Casma
2025-01-10 15:00:00,2.5,242.0,,SNM Casma
2025-01-10 16:00:00,3.0,275.0,,SNM Casma
2025-01-10 17:00:00,2.2,266.0,,SNM Casma
2025-01-10 18:00:00,1.8,254.0,,SNM Casma
2025-01-10 19:00:00,1.8,254.0,,SNM Casma
2025-01-10 20:00:00,2.7,230.0,,SNM Casma
2025-01-10 21:00:00,2.3,233.0,,SNM Casma
2025-01-10 22:00:00,0.5,234.0,,SNM Casma
2025-01-10 23:00:00,0.9,236.0,,SNM Casma
2025-01-11 00:00:00,0.0,244.0,,SNM Casma
2025-01-11 01:00:00,0.0,237.0,,SNM Casma
2025-01-11 02:00:00,0.0,316.0,,SNM Casma
2025-01-11 03:00:00,0.2,214.0,,SNM Casma
2025-01-11 04:00:00,0.0,250.0,,SNM Casma
2025-01-11 05:00:00,0.0,215.0,,SNM Casma
2025-01-11 06:00:00,0.0,215.0,,SNM Casma
2025-01-11 07:00:00,0.7,251.0,,SNM Casma
2025-01-11 08:00:00,0.7,224.0,,SNM Casma
2025-01-11 09:00:00,2.5,261.0,,SNM Casma
2025-01-11 10:00:00,1.4,246.0,,SNM Casma
