datetime,velocidad,direccion,tsm,estacion
2023-01-01 00:00:00,0.0,213.0,,SNM Casma
2023-01-01 01:00:00,0.0,205.0,,SNM Casma
2023-01-01 02:00:00,0.0,228.0,,SNM Casma
2023-01-01 03:00:00,0.3,203.0,,SNM Casma
2023-01-01 04:00:00,0.0,179.0,,SNM Casma
2023-01-01 05:00:00,1.1,233.0,,SNM Casma
2023-01-01 06:00:00,0.0,251.0,,SNM Casma
2023-01-01 07:00:00,0.0,196.0,,SNM Casma
2023-01-01 08:00:00,0.0,44.0,,SNM Casma
2023-01-01 09:00:00,0.2,165.0,,SNM Casma
2023-01-01 10:00:00,1.0,260.0,,SNM Casma
2023-01-01 11:00:00,1.3,260.0,,SNM Casma
2023-01-01 12:00:00,2.7,200.0,,SNM Casma
2023-01-01 13:00:00,2.5,213.0,,SNM Casma
2023-01-01 14:00:00,2.9,221.0,,SNM Casma
2023-01-01 15:00:00,2.8,236.0,,SNM Casma
2023-01-01 16:00:00,3.4,222.0,,SNM Casma
2023-01-01 17:00:00,3.1,230.0,,SNM Casma
2023-01-01 18:00:00,2.1,260.0,,SNM Casma
2023-01-01 19:00:00,1.9,302.0,,SNM Casma
2023-01-01 20:00:00,1.2,353.0,,SNM Casma
2023-01-01 21:00:00,0.4,339.0,,SNM Casma
2023-01-01 22:00:00,0.1,347.0,,SNM Casma
2023-01-01 23:00:00,0.5,291.0,,SNM Casma
2023-01-02 00:00:00,0.1,226.0,,SNM Casma
2023-01-02 01:00:00,0.1,231.0,,SNM Casma
2023-01-02 02:00:00,0.0,212.0,,SNM Casma
2023-01-02 03:00:00,0.0,200.0,,SNM Casma
2023-01-02 04:00:00,0.3,238.0,,SNM Casma
2023-01-02 05:00:00,0.0,335.0,,SNM Casma
2023-01-02 06:00:00,0.0,4.0,,SNM Casma
2023-01-02 07:00:00,0.0,187.0,,SNM Casma
2023-01-02 08:00:00,0.0,195.0,,SNM Casma
2023-01-02 09:00:00,0.1,344.0,,SNM Casma
2023-01-02 10:00:00,1.7,249.0,,SNM Casma
2023-01-02 11:00:00,0.9,244.0,,SNM Casma
2023-01-02 12:00:00,1.6,273.0,,SNM Casma
2023-01-02 13:00:00,2.5,229.0,,SNM Casma
2023-01-02 14:00:00,5.4,286.0,,SNM Casma
2023-01-02 15:00:00,5.4,286.0,,SNM Casma
2023-01-02 16:00:00,4.2,289.0,,SNM Casma
2023-01-02 17:00:00,3.2,268.0,,SNM Casma
2023-01-02 18:00:00,2.6,291.0,,SNM Casma
2023-01-02 19:00:00,2.6,291.0,,SNM Casma
2023-01-02 20:00:00,1.4,268.0,,SNM Casma
2023-01-02 21:00:00,2.0,260.0,,SNM Casma
2023-01-02 22:00:00,0.2,266.0,,SNM Casma
2023-01-02 23:00:00,0.1,197.0,,SNM Casma
2023-01-03 00:00:00,1.0,223.0,,SNM Casma
2023-01-03 01:00:00,1.4,225.0,,SNM Casma
2023-01-03 02:00:00,0.0,229.0,,SNM Casma
2023-01-03 03:00:00,0.3,216.0,,SNM Casma
2023-01-03 04:00:00,0.0,199.0,,SNM Casma
2023-01-03 05:00:00,0.0,169.0,,SNM Casma
2023-01-03 06:00:00,0.0,56.0,,SNM Casma
2023-01-03 07:00:00,0.7,228.0,,SNM Casma
2023-01-03 08:00:00,1.4,233.0,,SNM Casma
2023-01-03 09:00:00,2.3,237.0,,SNM Casma
2023-01-03 10:00:00,3.7,214.0,,SNM Casma
2023-01-03 11:00:00,1.8,235.0,,SNM Casma
2023-01-03 12:00:00,2.2,270.0,,SNM Casma
2023-01-03 13:00:00,3.8,284.0,,SNM Casma
