Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : CAÑETE
Departamento :,LIMA,Provincia :,CAÑETE,Distrito :,IMPERIAL
Latitud :,13°4'28.82'',Longitud :,76°19'49.46'',Altitud :,116 msnm.
Tipo :,EMA - Meteorológica,Código :,113249
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/10/01,00:00,17.4,0.0,100,319,0.4
2023/10/01,01:00,17.7,0.0,100,22,0.4
2023/10/01,02:00,17.6,0.0,100,3,0.1
2023/10/01,03:00,17.6,0.0,100,23,0.9
2023/10/01,04:00,17.5,0.0,100,357,0.3
2023/10/01,05:00,17.3,0.0,100,9,0.0
2023/10/01,06:00,17.1,0.0,100,310,0.0
2023/10/01,07:00,17.4,0.0,100,99,0.0
2023/10/01,08:00,18.3,0.0,100,335,0.0
2023/10/01,09:00,19.7,0.0,97,263,1.3
2023/10/01,10:00,20.4,0.0,94,275,1.9
2023/10/01,11:00,21.4,0.0,88,288,1.9
2023/10/01,12:00,23.1,0.0,78,266,3.0
2023/10/01,13:00,23.2,0.0,76,298,3.6
2023/10/01,14:00,23.0,0.0,76,280,3.5
2023/10/01,15:00,22.6,0.0,78,296,2.8
2023/10/01,16:00,22.1,0.0,79,284,2.5
2023/10/01,17:00,21.2,0.0,83,279,2.6
2023/10/01,18:00,20.0,0.0,92,271,1.0
2023/10/01,19:00,18.8,0.0,100,293,0.4
2023/10/01,20:00,18.3,0.0,100,278,0.1
2023/10/01,21:00,18.1,0.0,100,314,0.4
2023/10/01,22:00,17.9,0.0,100,285,0.1
2023/10/01,23:00,18.1,0.0,100,237,0.0
2023/10/02,00:00,18.1,0.0,100,8,0.0
2023/10/02,01:00,18.0,0.0,100,304,0.0
2023/10/02,02:00,17.8,0.0,100,253,0.0
2023/10/02,03:00,17.9,0.0,100,306,0.7
2023/10/02,04:00,17.9,0.0,S/D,284,0.1
2023/10/02,05:00,17.8,0.0,S/D,310,0.3
2023/10/02,06:00,17.9,0.0,100,270,0.5
2023/10/02,07:00,17.9,0.0,100,284,2.0
2023/10/02,08:00,18.1,0.0,100,271,0.4
2023/10/02,09:00,19.3,0.0,100,353,1.0
2023/10/02,10:00,21.3,0.0,88,15,1.1
2023/10/02,11:00,23.0,0.0,79,286,2.1
2023/10/02,12:00,23.3,0.0,78,284,2.8
2023/10/02,13:00,23.4,0.0,76,283,3.7
2023/10/02,14:00,22.9,0.0,77,272,2.8
2023/10/02,15:00,23.0,0.0,76,297,3.2
2023/10/02,16:00,22.3,S/D,S/D,S/D,S/D
2023/10/02,17:00,21.4,0.0,85,282,2.4
2023/10/02,18:00,19.9,0.0,95,282,2.1
2023/10/02,20:00,S/D,S/D,S/D,S/D,S/D
2023/10/02,21:00,18.0,0.0,100,37,0.3
2023/10/02,22:00,18.1,0.0,100,273,0.5
2023/10/02,23:00,17.5,0.0,100,239,0.0
2023/10/03,00:00,17.4,0.0,100,222,0.0
2023/10/03,01:00,17.6,0.0,100,222,0.0
2023/10/03,02:00,17.7,0.0,100,265,0.0
2023/10/03,03:00,17.9,0.0,100,263,0.0
2023/10/03,04:00,17.7,0.0,S/D,259,0.0
2023/10/03,05:00,17.5,0.0,S/D,312,0.0
2023/10/03,06:00,17.6,0.0,S/D,357,0.6
2023/10/03,07:00,17.8,0.0,S/D,276,0.4
2023/10/03,08:00,18.0,0.0,S/D,263,0.8
2023/10/03,09:00,18.5,0.0,100,274,0.6
2023/10/03,10:00,19.2,0.0,100,255,1.3
2023/10/03,11:00,20.8,0.0,96,288,1.8
2023/10/03,12:00,22.0,0.0,88,322,1.8
2023/10/03,13:00,23.2,0.0,81,283,3.7
2023/10/03,14:00,22.6,0.0,83,286,3.1
2023/10/03,15:00,22.0,0.0,85,281,2.7
2023/10/03,16:00,21.0,0.0,90,293,3.2
2023/10/03,17:00,19.8,0.0,98,289,2.2
2023/10/03,18:00,18.9,0.0,100,288,2.5
2023/10/03,19:00,18.4,0.0,100,284,1.4
2023/10/03,20:00,18.3,0.0,100,250,0.1
2023/10/03,21:00,18.4,0.0,100,248,0.0
2023/10/03,22:00,18.4,0.0,100,258,0.0
2023/10/03,23:00,17.8,0.0,100,277,1.0
2023/10/04,00:00,17.2,0.0,S/D,271,0.6
2023/10/04,01:00,17.1,0.0,S/D,245,0.2
2023/10/04,02:00,17.0,0.0,S/D,138,0.1
2023/10/04,03:00,17.0,0.0,S/D,194,0.0
2023/10/04,04:00,17.1,0.0,S/D,243,0.6
2023/10/04,05:00,17.1,0.0,S/D,291,0.0
2023/10/04,06:00,17.2,0.0,S/D,300,0.3
2023/10/04,07:00,17.1,0.0,S/D,288,0.9
2023/10/04,08:00,17.4,0.0,S/D,254,0.4
2023/10/04,09:00,18.0,0.0,100,274,1.0
2023/10/04,10:00,19.2,0.0,100,309,1.3
2023/10/04,11:00,20.6,0.0,98,289,2.0
2023/10/04,12:00,21.1,0.0,96,285,2.4
2023/10/04,13:00,20.9,0.0,97,272,2.0
2023/10/04,14:00,20.8,0.0,96,284,2.4
2023/10/04,15:00,20.8,0.0,96,300,2.4
2023/10/04,16:00,19.9,0.0,100,264,2.4
2023/10/04,17:00,19.3,0.0,100,294,2.3
2023/10/04,18:00,18.5,0.0,100,286,1.5
2023/10/04,19:00,18.1,0.0,100,282,1.2
2023/10/04,20:00,17.8,0.0,100,290,0.3
2023/10/04,21:00,17.8,0.0,100,267,0.0
2023/10/04,22:00,17.8,0.0,100,260,0.4
2023/10/04,23:00,17.8,0.0,100,218,0.7
2023/10/05,00:00,17.8,0.0,100,282,0.7
2023/10/05,01:00,17.4,0.0,S/D,280,0.8
2023/10/05,02:00,17.2,0.0,S/D,280,0.2
2023/10/05,03:00,17.1,0.0,S/D,239,0.1
2023/10/05,04:00,17.1,0.0,S/D,230,0.0
2023/10/05,05:00,17.1,0.0,S/D,254,0.0
2023/10/05,06:00,17.2,0.0,S/D,257,0.2
2023/10/05,07:00,17.1,0.0,S/D,253,0.4
2023/10/05,08:00,17.2,0.0,S/D,236,0.6
2023/10/05,09:00,17.8,0.0,S/D,302,0.5
2023/10/05,10:00,19.0,0.0,100,269,0.5
2023/10/05,11:00,21.8,0.0,90,259,2.4
2023/10/05,12:00,22.4,0.0,84,283,3.1
2023/10/05,13:00,22.2,0.0,84,271,2.8
2023/10/05,14:00,22.5,0.0,82,269,2.6
2023/10/05,15:00,22.4,0.0,82,293,2.3
2023/10/05,16:00,22.3,0.0,82,292,2.1
2023/10/05,17:00,21.3,0.0,88,273,2.3
2023/10/05,18:00,19.9,0.0,97,280,2.0
2023/10/05,19:00,18.6,0.0,100,314,1.3
2023/10/05,20:00,18.6,0.0,100,24,0.6
2023/10/05,21:00,18.5,S/D,100,255,1.3
2023/10/05,22:00,18.0,0.0,100,300,0.7
2023/10/05,23:00,17.8,0.0,100,282,0.0
2023/10/06,00:00,17.6,0.0,S/D,355,1.1
2023/10/06,01:00,17.8,0.0,100,239,0.4
2023/10/06,02:00,17.7,0.0,100,257,0.2
2023/10/06,03:00,17.6,0.0,100,289,0.4
2023/10/06,04:00,17.5,0.0,100,323,0.1
2023/10/06,05:00,17.6,0.0,100,323,0.1
2023/10/06,06:00,17.7,0.0,100,255,0.9
2023/10/06,07:00,17.7,0.0,100,319,0.0
2023/10/06,08:00,18.5,0.0,100,354,0.1
2023/10/06,09:00,19.9,0.0,100,291,1.4
2023/10/06,10:00,19.9,0.0,100,274,1.9
2023/10/06,11:00,21.0,0.0,95,262,1.1
2023/10/06,12:00,22.5,0.0,85,287,4.2
2023/10/06,13:00,21.8,0.0,87,278,3.1
2023/10/06,14:00,22.3,0.0,84,280,2.8
2023/10/06,15:00,21.9,0.0,85,270,3.1
2023/10/06,16:00,20.6,0.0,90,287,2.2
2023/10/06,17:00,20.5,0.0,89,255,4.1
2023/10/06,18:00,19.3,0.0,100,266,2.0
2023/10/06,19:00,19.3,0.0,100,259,0.1
2023/10/06,20:00,19.2,0.0,100,8,1.8
2023/10/06,21:00,18.8,0.0,100,249,1.6
2023/10/06,22:00,17.6,0.0,100,276,0.1
2023/10/06,23:00,17.5,0.0,100,339,0.1
2023/10/07,00:00,17.8,0.0,100,14,1.1
2023/10/07,01:00,17.9,0.0,100,42,0.6
2023/10/07,02:00,18.0,0.0,100,17,0.1
2023/10/07,03:00,17.7,0.0,100,293,0.4
2023/10/07,04:00,17.2,0.0,S/D,262,0.2
2023/10/07,05:00,17.3,0.0,S/D,319,0.0
2023/10/07,06:00,17.4,0.0,100,265,0.5
2023/10/07,07:00,17.3,0.0,100,191,0.0
2023/10/07,08:00,18.6,0.0,100,281,0.4
2023/10/07,09:00,21.0,0.0,91,302,1.2
2023/10/07,10:00,21.4,0.0,90,295,3.0
2023/10/07,11:00,21.9,0.0,87,279,3.0
2023/10/07,12:00,22.0,0.0,84,280,2.7
2023/10/07,13:00,22.4,0.0,80,285,2.8
2023/10/07,14:00,22.2,0.0,81,296,2.8
2023/10/07,15:00,21.8,0.0,82,294,2.6
2023/10/07,16:00,21.3,0.0,84,283,2.9
2023/10/07,17:00,20.5,0.0,89,286,1.6
2023/10/07,18:00,19.6,0.0,96,303,0.3
2023/10/07,19:00,18.8,0.0,100,279,1.0
2023/10/07,20:00,18.5,0.0,100,295,0.3
2023/10/07,21:00,18.3,0.0,100,20,1.2
2023/10/07,22:00,18.2,0.0,100,310,0.0
2023/10/07,23:00,18.3,0.0,100,323,0.8
2023/10/08,00:00,18.2,0.0,100,251,0.0
2023/10/08,01:00,17.8,0.0,100,291,0.6
2023/10/08,02:00,17.7,0.0,100,279,0.7
2023/10/08,03:00,17.5,0.0,100,343,1.6
2023/10/08,04:00,17.4,0.0,100,309,0.3
2023/10/08,05:00,17.3,0.0,S/D,311,1.1
2023/10/08,06:00,17.2,0.0,S/D,323,0.0
2023/10/08,07:00,17.4,0.0,100,249,0.2
2023/10/08,08:00,17.8,0.0,100,222,0.3
2023/10/08,09:00,18.3,0.0,100,230,0.4
2023/10/08,10:00,19.7,0.0,99,264,2.3
2023/10/08,11:00,20.8,0.0,92,294,3.0
2023/10/08,12:00,21.0,0.0,91,280,2.9
2023/10/08,13:00,20.8,0.0,91,275,3.1
2023/10/08,14:00,20.8,0.0,90,271,2.4
2023/10/08,15:00,21.0,0.0,88,274,3.0
2023/10/08,16:00,20.6,0.0,90,286,2.3
2023/10/08,17:00,20.2,0.0,91,277,2.0
2023/10/08,18:00,19.4,0.0,97,260,1.2
2023/10/08,19:00,18.4,0.0,100,268,0.3
2023/10/08,20:00,18.1,0.0,100,304,0.0
2023/10/08,21:00,18.2,0.0,100,281,0.1
2023/10/08,22:00,18.2,0.0,100,290,0.2
2023/10/08,23:00,18.0,0.0,100,271,0.0
2023/10/09,00:00,17.7,0.0,100,21,0.0
2023/10/09,01:00,17.4,0.0,100,51,0.0
2023/10/09,02:00,17.1,0.0,100,145,0.0
2023/10/09,03:00,16.9,0.0,100,20,0.0
2023/10/09,04:00,16.8,0.0,100,156,0.0
2023/10/09,05:00,16.5,0.0,S/D,27,0.1
2023/10/09,06:00,16.5,0.0,S/D,62,0.0
2023/10/09,07:00,16.9,0.0,S/D,350,0.1
2023/10/09,08:00,18.2,0.0,100,312,1.1
2023/10/09,09:00,19.6,0.0,99,328,1.5
2023/10/09,10:00,20.8,0.0,93,291,2.4
2023/10/09,11:00,22.1,0.0,84,284,3.0
2023/10/09,12:00,23.1,0.0,76,316,3.1
2023/10/09,13:00,22.8,0.0,77,287,3.6
2023/10/09,14:00,21.9,0.0,78,297,3.4
2023/10/09,15:00,21.5,0.0,81,320,2.8
2023/10/09,16:00,21.2,0.0,83,308,2.9
2023/10/09,17:00,19.5,0.0,92,331,2.4
2023/10/09,18:00,18.9,0.0,96,301,1.3
2023/10/09,19:00,18.2,0.0,100,309,0.8
2023/10/09,20:00,S/D,S/D,S/D,S/D,S/D
2023/10/09,21:00,17.4,0.0,100,323,1.2
2023/10/09,22:00,17.3,0.0,100,314,0.6
2023/10/09,23:00,17.4,0.0,100,334,1.9
2023/10/10,00:00,17.3,0.0,100,261,0.2
2023/10/10,01:00,17.1,0.0,100,267,0.0
2023/10/10,02:00,17.1,0.0,100,247,0.3
2023/10/10,03:00,17.2,0.0,100,260,0.1
2023/10/10,04:00,17.2,0.0,100,236,0.5
2023/10/10,05:00,17.2,0.0,100,251,0.0
2023/10/10,06:00,17.3,0.0,100,197,0.4
2023/10/10,07:00,17.4,0.0,100,267,0.2
2023/10/10,08:00,18.3,0.0,100,235,0.1
2023/10/10,09:00,20.7,0.0,87,324,0.5
2023/10/10,10:00,22.4,0.0,81,269,3.2
2023/10/10,11:00,22.3,0.0,82,278,2.9
2023/10/10,12:00,22.4,0.0,80,272,3.3
2023/10/10,13:00,22.8,0.0,78,302,2.2
2023/10/10,14:00,23.1,0.0,76,293,3.0
2023/10/10,15:00,22.8,0.0,78,278,3.3
2023/10/10,16:00,21.4,0.0,85,281,2.5
2023/10/10,17:00,20.3,0.0,92,271,2.1
2023/10/10,18:00,19.4,0.0,95,307,1.4
2023/10/10,19:00,19.3,0.1,96,285,0.1
2023/10/10,20:00,18.6,S/D,100,S/D,0.3
2023/10/10,21:00,18.4,0.0,100,326,0.8
2023/10/10,22:00,18.3,S/D,100,9,0.1
2023/10/10,23:00,18.2,0.0,100,354,0.2
2023/10/11,00:00,18.0,0.0,100,257,0.0
2023/10/11,01:00,17.4,0.0,S/D,9,0.0
2023/10/11,02:00,17.1,0.0,S/D,215,0.0
2023/10/11,03:00,17.2,0.0,S/D,324,0.0
2023/10/11,04:00,17.3,0.1,S/D,360,1.0
2023/10/11,05:00,17.2,0.0,S/D,13,1.0
2023/10/11,06:00,17.0,0.0,S/D,264,2.1
2023/10/11,07:00,16.8,0.0,S/D,343,2.1
2023/10/11,08:00,17.1,0.0,S/D,315,1.5
2023/10/11,09:00,17.4,0.0,S/D,277,1.5
2023/10/11,10:00,18.4,0.0,100,312,1.9
2023/10/11,11:00,19.4,0.0,100,307,2.6
2023/10/11,12:00,20.1,0.1,98,319,2.7
2023/10/11,13:00,21.4,0.0,87,316,1.5
2023/10/11,14:00,23.6,0.0,74,277,3.9
2023/10/11,15:00,23.0,0.0,76,263,4.2
2023/10/11,16:00,20.7,0.0,89,268,3.0
2023/10/11,17:00,18.8,0.0,99,291,2.2
2023/10/11,18:00,18.5,0.0,100,350,1.3
2023/10/11,19:00,18.4,0.0,99,341,2.9
2023/10/11,20:00,18.0,0.0,100,248,0.4
2023/10/11,21:00,17.5,0.0,100,265,0.0
2023/10/11,22:00,17.5,0.0,100,19,0.4
2023/10/11,23:00,17.2,0.0,100,180,0.9
2023/10/12,00:00,17.0,0.0,100,221,0.0
2023/10/12,01:00,16.6,0.0,100,272,0.3
2023/10/12,02:00,16.3,0.0,100,214,0.0
2023/10/12,03:00,16.1,0.0,S/D,215,0.1
2023/10/12,04:00,16.2,0.0,S/D,242,0.1
