Fecha,"Imarpe Callao - Precipitación Acumulada - Val (mm)","Imarpe Callao - Temperatura de Agua - Val (ºC)","Imarpe Callao - Conductividad - Val (mS/cm)","Imarpe Callao - Presion - Val (dbar)","Imarpe Callao - Oxigeno Disuelto - Val (ml/l)","Imarpe Callao - Salinidad - Val (PSU)","Imarpe Callao - Batería - Val (V)","Imarpe Callao - Temperatura Med - Val (ºC)","Imarpe Callao - Humedad Relativa - Val (%)","Imarpe Callao - Presion Atmosférica - Val (hPa)","Imarpe Callao - Direccion de Viento - Val (º)","Imarpe Callao - Velocidad de Viento - Val (m/s)","Imarpe Callao - Radiación Solar - Val (W/m2)"
"2022-01-01 00:00",0.0,13.81,41.532,0.706,0.080,34.792,12.7,19.1,95,1012.5,208,4.0,0
"2022-01-01 00:10",0.0,13.81,41.529,0.393,0.395,34.793,12.7,19.1,95,1012.4,211,3.5,0
"2022-01-01 00:20",0.0,13.81,41.526,0.708,0.080,34.792,12.7,19.2,95,1012.3,210,3.0,0
"2022-01-01 00:30",0.0,13.80,41.520,0.706,0.081,34.792,12.7,19.1,95,1012.2,209,3.1,0
"2022-01-01 00:40",0.0,13.80,41.519,0.735,0.080,34.792,12.7,19.1,96,1012.1,190,2.5,0
"2022-01-01 01:00",0.0,13.82,41.538,0.719,0.080,34.792,12.7,19.0,96,1012.1,206,2.6,0
"2022-01-01 01:10",0.0,13.79,41.513,0.716,0.080,34.793,12.7,19.1,95,1012.0,199,2.6,0
"2022-01-01 01:20",0.0,13.77,41.495,0.710,0.081,34.794,12.7,19.1,95,1012.1,207,2.4,0
"2022-01-01 01:30",0.0,13.76,41.487,0.710,0.081,34.795,12.7,19.0,95,1012.0,220,2.6,0
"2022-01-01 01:40",0.0,13.76,41.480,0.706,0.081,34.792,12.7,19.0,95,1012.1,238,1.4,0
"2022-01-01 01:50",0.0,13.76,41.482,0.392,0.390,34.794,12.7,18.9,95,1012.0,222,1.8,0
"2022-01-01 02:00",0.0,13.76,41.482,0.727,0.081,34.793,12.7,18.9,95,1012.0,232,1.7,0
"2022-01-01 02:10",0.0,13.75,41.477,0.716,0.081,34.795,12.7,18.9,95,1011.9,220,1.9,0
"2022-01-01 02:20",0.0,13.74,41.462,0.726,0.081,34.793,12.7,18.9,95,1011.9,232,1.5,0
"2022-01-01 02:30",0.0,13.72,41.446,0.712,0.081,34.793,12.7,18.8,95,1011.9,217,1.7,0
"2022-01-01 02:40",0.0,13.72,41.446,0.710,0.081,34.793,12.7,18.9,95,1011.9,236,1.1,0
"2022-01-01 02:50",0.0,13.73,41.454,0.735,0.081,34.795,12.7,18.8,95,1012.0,217,1.8,0
"2022-01-01 03:00",0.0,13.71,41.435,0.733,0.081,34.794,12.7,18.8,95,1011.9,237,1.4,0
"2022-01-01 03:10",0.0,13.70,41.425,0.729,0.081,34.792,12.7,18.8,95,1011.9,228,1.4,0
"2022-01-01 03:30",0.0,13.69,41.415,0.399,0.400,34.794,12.7,18.9,95,1011.9,232,1.5,0
"2022-01-01 03:40",0.0,13.68,41.406,0.712,0.081,34.792,12.7,18.9,95,1012.0,213,1.5,0
"2022-01-01 03:50",0.0,13.68,41.408,0.711,0.081,34.795,12.7,18.9,95,1011.8,209,1.4,0
"2022-01-01 04:00",0.0,13.68,41.405,0.706,0.081,34.794,12.7,18.9,95,1011.9,224,1.1,0
"2022-01-01 04:10",0.0,13.69,41.419,0.714,0.081,34.795,12.7,18.9,95,1011.9,229,1.1,0
"2022-01-01 04:20",0.0,13.69,41.418,0.715,0.081,34.794,12.7,18.9,95,1012.1,237,1.0,0
"2022-01-01 04:30",0.0,13.68,41.410,0.728,0.081,34.794,12.7,18.9,95,1012.1,232,0.9,0
"2022-01-01 04:40",0.0,13.68,41.409,0.727,0.081,34.794,12.7,18.9,95,1012.3,222,0.9,0
"2022-01-01 04:50",0.0,13.67,41.395,0.728,0.081,34.796,12.7,18.8,95,1012.3,240,0.9,0
"2022-01-01 05:00",0.0,13.67,41.394,0.721,0.081,34.794,12.7,18.9,95,1012.4,238,0.7,0
"2022-01-01 05:10",0.0,13.66,41.386,0.716,0.081,34.793,12.7,18.9,95,1012.6,234,0.9,0
"2022-01-01 05:20",0.0,13.66,41.383,0.726,0.081,34.794,12.6,18.9,94,1012.5,254,1.0,0
"2022-01-01 05:30",0.0,13.65,41.379,0.081,0.727,34.794,12.6,19.0,94,1012.6,250,1.4,0
"2022-01-01 05:40",0.0,13.65,41.373,0.722,0.081,34.794,12.6,19.1,93,1012.6,271,0.9,0
"2022-01-01 06:00",0.0,13.67,41.394,0.714,0.081,34.794,12.7,19.1,92,1012.9,274,1.2,0
"2022-01-01 06:10",0.0,13.67,41.395,0.721,0.081,34.793,12.7,19.1,92,1013.0,287,0.8,1
"2022-01-01 06:20",0.0,13.67,41.398,0.721,0.081,34.793,12.7,19.0,92,1013.1,341,0.9,8
"2022-01-01 06:30",0.0,13.67,41.393,0.401,0.403,34.794,12.7,18.9,92,1013.1,346,1.1,13
"2022-01-01 06:40",0.0,13.67,41.394,0.718,0.081,34.794,12.7,19.0,92,1013.3,337,1.1,24
"2022-01-01 06:50",0.0,13.67,41.396,0.724,0.081,34.794,12.8,18.9,92,1013.3,356,0.9,33
"2022-01-01 07:00",0.0,13.67,41.400,0.711,0.081,34.794,12.8,19.0,92,1013.2,17,0.6,40
"2022-01-01 07:10",0.0,13.67,41.400,0.396,0.397,34.794,12.9,19.2,92,1013.3,60,0.3,60
"2022-01-01 07:20",0.0,13.67,41.398,0.707,0.081,34.794,13.0,19.3,91,1013.3,20,0.4,72
"2022-01-01 07:30",0.0,13.68,41.408,0.396,0.391,34.793,13.2,19.3,91,1013.3,46,0.4,99
"2022-01-01 07:40",0.0,13.69,41.413,0.714,0.081,34.795,13.4,19.6,90,1013.4,340,0.4,129
"2022-01-01 07:50",0.0,13.70,41.424,0.716,0.081,34.791,13.5,19.7,89,1013.3,23,0.3,124
"2022-01-01 08:00",0.0,13.80,41.511,0.722,0.081,34.787,13.6,20.1,88,1013.4,92,0.4,141
"2022-01-01 08:10",0.0,13.77,41.486,0.720,0.081,34.788,13.6,20.1,87,1013.4,70,0.5,133
"2022-01-01 08:20",0.0,13.82,41.538,0.729,0.080,34.787,13.6,20.4,87,1013.4,288,0.4,151
"2022-01-01 08:30",0.0,13.86,41.589,0.404,0.382,34.801,13.7,20.4,87,1013.3,351,0.5,162
"2022-01-01 08:40",0.0,13.89,41.611,0.709,0.080,34.797,13.9,20.5,86,1013.2,283,0.5,197
"2022-01-01 08:50",0.0,13.88,41.588,0.695,0.080,34.784,14.2,20.7,87,1013.0,192,0.6,239
"2022-01-01 09:00",0.0,13.91,41.628,0.728,0.080,34.797,14.3,20.9,86,1012.9,261,0.6,244
"2022-01-01 09:20",0.0,13.98,41.700,0.724,0.080,34.798,14.4,21.5,83,1012.2,161,0.6,341
"2022-01-01 09:30",0.0,14.01,41.718,0.734,0.080,34.788,14.4,21.5,83,1012.2,201,0.9,342
"2022-01-01 09:40",0.0,14.10,41.802,0.719,0.080,34.786,14.4,21.5,82,1012.1,314,0.7,321
"2022-01-01 09:50",0.0,14.12,41.845,0.696,0.079,34.803,14.4,21.4,82,1012.0,285,0.7,323
"2022-01-01 10:00",0.0,14.13,41.832,0.394,0.391,34.787,14.4,21.0,83,1012.0,254,1.2,329
"2022-01-01 10:10",0.0,14.34,42.007,0.719,0.079,34.760,14.4,21.0,83,1012.2,235,1.7,382
"2022-01-01 10:20",0.0,14.23,41.931,0.741,0.079,34.789,14.4,21.5,84,1012.2,217,1.1,411
"2022-01-01 10:30",0.0,14.26,41.953,0.754,0.079,34.783,14.4,21.1,84,1011.9,231,1.8,454
"2022-01-01 10:40",0.0,14.27,41.970,0.740,0.079,34.787,14.4,21.3,84,1011.8,232,1.4,449
"2022-01-01 10:50",0.0,14.27,41.976,0.746,0.079,34.790,14.4,21.6,83,1011.7,222,1.4,569
"2022-01-01 11:00",0.0,14.39,42.078,0.744,0.079,34.777,14.4,21.8,82,1011.5,236,1.3,501
"2022-01-01 11:10",0.0,14.70,42.318,0.762,0.078,34.715,14.4,22.3,81,1011.3,267,1.0,548
"2022-01-01 11:20",0.0,14.70,42.384,0.752,0.077,34.782,14.5,22.0,81,1011.1,295,1.2,573
"2022-01-01 11:30",0.0,14.86,42.492,0.754,0.077,34.738,14.4,20.8,83,1011.1,343,1.9,472
"2022-01-01 11:40",0.0,15.27,42.894,0.409,0.403,34.735,14.5,20.8,85,1011.1,325,1.6,578
"2022-01-01 11:50",0.0,16.03,43.500,0.764,0.075,34.616,14.4,21.6,82,1011.0,291,1.8,882
"2022-01-01 12:00",0.0,15.86,43.344,0.426,0.429,34.621,14.4,22.1,80,1010.9,258,1.5,911
"2022-01-01 12:10",0.0,16.39,43.897,0.782,0.073,34.647,14.4,22.4,78,1010.9,253,1.9,985
"2022-01-01 12:20",0.0,15.89,43.486,0.771,0.073,34.724,14.5,22.3,78,1010.8,236,1.8,983
"2022-01-01 12:30",0.0,15.86,43.527,0.790,0.073,34.782,14.5,21.9,78,1010.5,246,3.1,979
"2022-01-01 12:40",0.0,15.89,43.494,0.772,0.073,34.731,14.5,21.5,80,1010.5,233,3.0,976
"2022-01-01 12:50",0.0,15.66,43.305,0.429,0.426,34.759,14.5,21.7,81,1010.4,236,3.0,971
"2022-01-01 13:00",0.0,15.52,43.176,0.768,0.073,34.775,14.5,21.5,82,1010.3,246,3.2,962
"2022-01-01 13:10",0.0,15.55,43.203,0.762,0.074,34.768,14.5,22.3,81,1010.3,242,1.9,922
"2022-01-01 13:20",0.0,15.43,43.112,0.433,0.437,34.790,14.5,21.9,80,1010.1,243,2.3,937
"2022-01-01 13:30",0.0,15.43,43.094,0.421,0.437,34.777,14.5,21.8,81,1010.0,236,2.7,920
"2022-01-01 13:40",0.0,15.29,42.955,0.794,0.074,34.778,14.4,21.6,81,1009.9,241,2.6,891
"2022-01-01 13:50",0.0,15.19,42.838,0.782,0.075,34.755,14.5,21.8,81,1009.8,240,2.8,893
"2022-01-01 14:00",0.0,15.16,42.839,0.781,0.075,34.786,14.5,22.0,81,1009.8,229,2.9,874
"2022-01-01 14:30",0.0,14.98,42.655,0.774,0.076,34.778,14.5,21.9,82,1009.4,237,1.9,807
"2022-01-01 14:40",0.0,14.91,42.596,0.735,0.076,34.785,14.4,22.3,80,1009.4,251,1.7,783
"2022-01-01 14:50",0.0,14.85,42.531,0.767,0.076,34.781,14.4,22.4,79,1009.3,260,1.9,751
"2022-01-01 15:00",0.0,14.78,42.485,0.763,0.076,34.799,14.4,22.1,80,1009.3,242,1.9,704
"2022-01-01 15:10",0.0,14.86,42.537,0.762,0.076,34.782,14.5,21.5,82,1009.4,247,2.6,655
"2022-01-01 15:20",0.0,14.79,42.468,0.764,0.076,34.778,14.4,21.6,82,1009.4,236,2.4,672
"2022-01-01 15:30",0.0,14.76,42.437,0.754,0.076,34.776,14.4,21.1,83,1009.3,241,2.8,632
"2022-01-01 15:40",0.0,14.75,42.432,0.738,0.077,34.781,14.4,21.4,82,1009.5,230,2.7,607
"2022-01-01 15:50",0.0,14.71,42.409,0.740,0.076,34.791,14.4,21.5,83,1009.6,249,2.4,581
"2022-01-01 16:00",0.0,14.63,42.321,0.399,0.396,34.786,14.4,21.5,82,1009.6,236,2.5,542
