Fecha,"Imarpe Callao - Precipitación Acumulada - Val (mm)","Imarpe Callao - Temperatura de Agua - Val (ºC)","Imarpe Callao - Conductividad - Val (mS/cm)","Imarpe Callao - Presion - Val (dbar)","Imarpe Callao - Oxigeno Disuelto - Val (ml/l)","Imarpe Callao - Salinidad - Val (PSU)","Imarpe Callao - Batería - Val (V)","Imarpe Callao - Temperatura Med - Val (ºC)","Imarpe Callao - Humedad Relativa - Val (%)","Imarpe Callao - Presion Atmosférica - Val (hPa)","Imarpe Callao - Direccion de Viento - Val (º)","Imarpe Callao - Velocidad de Viento - Val (m/s)","Imarpe Callao - Radiación Solar - Val (W/m2)"
"2023-01-01 00:00",0.0,14.62,,,,,12.6,19.0,96,1015.9,,,0
"2023-01-01 00:10",0.0,14.62,,,,,12.6,18.9,96,1015.9,,,0
"2023-01-01 00:20",0.0,14.62,,,,,12.6,18.8,96,1015.8,,,0
"2023-01-01 00:30",0.0,14.62,,,,,12.6,18.7,96,1015.6,,,0
"2023-01-01 00:40",0.0,,,,,,12.6,18.6,96,1015.4,,,0
"2023-01-01 00:50",0.0,14.53,,,,,12.6,18.5,97,1015.3,,,0
"2023-01-01 01:00",0.0,14.53,,,,,12.6,18.5,97,1015.3,,,0
"2023-01-01 01:10",0.0,14.62,,,,,12.6,18.3,97,1015.1,,,0
"2023-01-01 01:20",0.0,14.62,,,,,12.6,18.2,97,1014.9,,,0
"2023-01-01 01:30",0.0,14.62,,,,,12.6,18.1,97,1014.8,,,0
"2023-01-01 01:40",0.0,14.62,,,,,12.6,18.1,98,1014.7,,,0
"2023-01-01 01:50",0.0,14.62,,,,,12.6,18.1,98,1014.7,,,0
"2023-01-01 02:00",0.0,14.62,,,,,12.6,18.0,98,1014.6,,,0
"2023-01-01 02:10",0.0,14.62,,,,,12.6,18.0,98,1014.4,,,0
"2023-01-01 02:20",0.0,14.62,,,,,12.6,18.0,98,1014.3,,,0
"2023-01-01 02:30",0.0,14.62,,,,,12.6,18.0,98,1014.3,,,0
"2023-01-01 02:40",0.0,14.62,,,,,12.6,18.0,98,1014.4,,,0
"2023-01-01 02:50",0.0,14.62,,,,,12.6,18.0,99,1014.3,,,0
"2023-01-01 03:00",0.0,14.62,,,,,12.6,18.1,99,1014.3,,,0
"2023-01-01 03:10",0.0,14.62,,,,,12.6,18.1,99,1014.3,,,0
"2023-01-01 03:20",0.0,14.62,,,,,12.6,18.1,99,1014.2,,,0
"2023-01-01 03:30",0.0,14.53,,,,,12.6,18.1,99,1014.2,,,0
"2023-01-01 03:40",0.0,14.62,,,,,12.6,18.2,99,1014.4,,,0
"2023-01-01 03:50",0.0,14.53,,,,,12.6,18.2,99,1014.4,,,0
"2023-01-01 04:00",0.0,14.53,,,,,12.6,18.2,99,1014.4,,,0
"2023-01-01 04:10",0.0,14.53,,,,,12.6,18.2,99,1014.4,,,0
"2023-01-01 04:20",0.0,14.62,,,,,12.6,18.2,99,1014.4,,,0
"2023-01-01 04:30",0.0,14.62,,,,,12.6,18.2,99,1014.6,,,0
"2023-01-01 04:40",0.0,14.53,,,,,12.5,18.2,99,1014.6,,,0
"2023-01-01 04:50",0.0,14.53,,,,,12.5,18.2,99,1014.8,,,0
"2023-01-01 05:00",0.0,14.53,,,,,12.5,18.2,99,1015.0,,,0
"2023-01-01 05:10",0.0,14.53,,,,,12.5,18.3,99,1015.0,,,0
"2023-01-01 05:20",0.0,,,,,,12.5,18.3,99,1015.2,,,0
"2023-01-01 05:30",0.0,14.53,,,,,12.5,18.3,99,1015.3,,,0
"2023-01-01 05:40",0.0,14.53,,,,,12.5,18.2,99,1015.5,,,0
"2023-01-01 05:50",0.0,14.53,,,,,12.5,18.2,99,1015.5,,,0
"2023-01-01 06:00",0.0,14.53,,,,,12.5,18.2,99,1015.5,,,0
"2023-01-01 06:10",0.0,14.53,,,,,12.5,18.3,99,1015.6,,,1
"2023-01-01 06:20",0.0,14.53,,,,,12.5,18.4,99,1015.8,,,6
"2023-01-01 06:30",0.0,14.45,,,,,12.6,18.5,99,1016.0,,,12
"2023-01-01 06:40",0.0,14.45,,,,,12.6,18.5,99,1016.2,,,22
"2023-01-01 06:50",0.0,14.45,,,,,12.6,18.6,99,1016.2,,,31
"2023-01-01 07:00",0.0,14.45,,,,,12.7,18.7,99,1016.1,,,45
"2023-01-01 07:10",0.0,14.45,,,,,12.8,18.7,99,1016.1,,,65
"2023-01-01 07:20",0.0,14.45,,,,,13.0,18.8,99,1016.2,,,112
"2023-01-01 07:30",0.0,14.45,,,,,13.1,19.1,99,1016.1,,,153
"2023-01-01 07:40",0.0,14.45,,,,,13.1,19.1,98,1016.0,,,128
"2023-01-01 07:50",0.0,14.53,,,,,13.2,19.1,98,1015.9,,,147
"2023-01-01 08:00",0.0,14.45,,,,,13.3,19.1,97,1015.8,,,177
"2023-01-01 08:10",0.0,14.45,,,,,13.4,19.2,97,1015.7,,,198
"2023-01-01 08:20",0.0,14.48,,,,,13.4,19.2,97,1015.6,,,217
"2023-01-01 08:30",0.0,14.45,,,,,13.4,19.5,96,1015.7,,,213
"2023-01-01 08:40",0.0,14.53,,,,,13.3,19.8,96,1015.6,,,194
"2023-01-01 08:50",0.0,14.45,,,,,13.3,19.8,95,1015.7,,,175
"2023-01-01 09:00",0.0,,,,,,13.4,19.8,95,1015.8,,,170
"2023-01-01 09:10",0.0,,,,,,13.4,20.0,95,1015.9,,,191
"2023-01-01 09:20",0.0,14.53,,,,,13.5,20.1,94,1016.0,,,221
"2023-01-01 09:30",0.0,14.48,,,,,13.6,20.2,94,1015.9,,,246
"2023-01-01 09:40",0.0,14.45,,,,,13.7,20.5,93,1015.8,,,285
"2023-01-01 09:50",0.0,14.53,,,,,13.6,20.5,92,1015.6,,,295
"2023-01-01 10:00",0.0,14.53,,,,,13.7,20.7,92,1015.5,,,285
"2023-01-01 10:10",0.0,14.53,,,,,13.8,20.7,91,1015.3,,,301
"2023-01-01 10:20",0.0,14.53,,,,,13.9,20.7,91,1015.2,,,299
"2023-01-01 10:30",0.0,14.53,,,,,14.3,21.0,90,1015.0,,,456
"2023-01-01 10:40",0.0,14.53,,,,,14.3,21.6,89,1014.6,,,599
"2023-01-01 10:50",0.0,14.53,,,,,14.3,20.8,88,1014.4,,,610
"2023-01-01 11:00",0.0,14.53,,,,,14.3,21.4,89,1014.2,,,626
"2023-01-01 11:10",0.0,14.53,,,,,14.3,21.4,88,1014.0,,,606
"2023-01-01 11:20",0.0,14.53,,,,,14.4,21.4,87,1013.9,,,599
"2023-01-01 11:30",0.0,,,,,,14.4,21.5,87,1013.8,,,575
"2023-01-01 11:40",0.0,,,,,,14.4,21.3,87,1013.6,,,496
"2023-01-01 11:50",0.0,14.62,,,,,14.4,21.0,88,1013.5,,,398
"2023-01-01 12:00",0.0,,,,,,14.4,20.5,89,1013.5,,,325
"2023-01-01 12:10",0.0,,,,,,14.4,20.6,90,1013.5,,,309
"2023-01-01 12:20",0.0,14.62,,,,,14.4,20.6,89,1013.6,,,380
"2023-01-01 12:30",0.0,14.62,,,,,14.4,21.0,89,1013.5,,,519
"2023-01-01 12:40",0.0,14.62,,,,,14.4,21.0,89,1013.4,,,557
"2023-01-01 12:50",0.0,14.70,,,,,14.4,21.7,87,1013.2,,,541
